FIPS,POP_ESTIMATE_2018,R_NET_MIG_2018
13153,155469,10.8
13155,9398,3.6
13157,70422,35.1
13159,14040,10.2
13161,15029,-2.5
13163,15430,-9.7
13165,8683,-9.3
13167,9708,-4.6
13169,28616,8
13171,19000,19.7
13173,10340,-11.4
13175,47325,-1.6
13177,29764,8.7
13179,61497,-21.1
13181,7915,10.3
13183,18998,4.7
13185,116321,2.6
13187,32955,4.7
13189,21531,1.3
13191,14340,18
13193,13143,-4.5
13195,29650,10.7
13197,8351,-5.8
13199,21068,3.9
13201,5686,-23.1
13205,22192,-6.3
13207,27520,14.9
13209,9193,12.2
13211,18853,22.8
13213,39921,0.9
13215,194160,-2.1
13217,109541,10.8
13219,39272,29.6
13221,15054,12
13223,164044,23.3
13225,27297,13.5
13227,31980,15.7
13229,19389,7.1
13231,18634,23
13233,42470,11.6
13235,11069,-10
13237,21809,6.4
13239,2279,-28.5
13241,16867,22.6
13243,6833,-22.4
13245,201554,-3.6
13247,90594,5.2
13249,5236,-5.5
13251,13938,-1.4
13253,8315,4.5
13255,66100,10.5
13257,26035,12.3
13259,6199,6.8
13261,29733,-3.2
13263,6272,7.5
13265,1608,-4.3
13267,25391,1
13269,8039,-8.9
13271,15876,1.4
13273,8611,-11
13275,44448,-5.5
13277,40571,-0.1
13279,26887,-1.6
13281,11852,34.1
13283,6809,8.3
13285,70034,-2.2
13287,7912,-0.5
13289,8188,-2.7
13291,24001,29.9
13293,26215,3
13295,69410,6.8
13297,93503,19.6
13299,35680,-1.9
13301,5251,-5.5
13303,20386,5.3
13305,29808,0.8
13307,2611,3.1
13309,7879,-9.2
13311,29970,18.2
13313,104062,-4.8
13315,8812,4.4
13317,9876,4.8
13319,9036,10.7
13321,20299,-10.3
15000,1420491,-5.9
15001,200983,6.2
15003,980080,-10.3
15005,88,0
15007,72133,2.8
15009,167207,1.9
16000,1754208,14.8
16001,469966,23.9
16003,4250,26.7
16005,87138,11.6
16007,6050,0.2
16009,9226,7.6
16011,46236,1.1
16013,22601,10.7
16015,7634,36.7
16017,44727,25
16019,116854,9.6
16021,11948,0.8
16023,2611,-0.4
16025,1127,26.1
16027,223499,22.6
16029,7060,2.1
16031,23864,-1.4
16033,852,-41.5
16035,8758,14.9
16037,4280,28.2
16039,27259,6.3
16041,13726,10.4
16043,13168,-2.4
16045,17634,16
16047,15196,-3.6
16049,16513,9.4
16051,29439,21.5
16053,24015,1
16055,161505,22.8
16057,40134,4.8
16059,7961,14.7
16061,3861,-9.8
16063,5360,-3.6
16065,39304,-26.1
16067,20825,-5.5
16069,40408,0.5
16071,4488,13.3
16073,11693,0.9
16075,23551,10.7
16077,7768,7.9
16079,12796,22.2
16081,11640,8.7
16083,86081,3.7
16085,11041,29.5
16087,10161,8.4
17000,12741080,-6.5
17001,65691,-5.2
17003,6060,-36.6
17005,16630,1.3
17007,53577,-2.3
17009,6556,-8.5
17011,32993,-3.8
17013,4802,-4.4
17015,14312,-7.8
17017,12260,-18.9
17019,209983,-5
17021,32661,-8.6
17023,15596,-11.7
17025,13253,0.2
17027,37639,0.6
17029,50885,-9.1
17031,5180493,-8.6
17033,18807,-6.3
17035,10808,-6.3
17037,104143,-3.3
17039,15769,-5.2
17041,19479,-11.3
17043,928589,-6.4
17045,17360,0.2
17047,6392,-13.5
17049,34208,-0.9
17051,21416,-7.4
17053,13264,-2.5
17055,38701,-6.1
17057,34844,-4.1
17059,5058,4.3
17061,13044,-6.6
17063,50972,3.6
17065,8163,-1.2
17067,17844,-5.7
17069,3910,1.5
17071,6709,-12.9
17073,49090,-2.1
17075,27604,-7.4
17077,57419,-11.8
17079,9611,6.2
